residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,Density,pH,sulphates,alcohol,quality
2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5
2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5
1.7,0.062,26,42,0.9959,3.18,0.83,10.6,6
1.9,0.077,6,32,0.9988,3.26,0.56,10.6,6
2.8,0.078,24,56,0.9984,3.31,0.67,10.6,6
2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6
2.7,0.094,16,47,0.9986,3.12,1.02,10.6,7
1.7,0.054,17,32,0.99686,3.15,0.67,10.6,7
2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
1.5,0.042,6,12,0.99542,3.35,0.61,10.7,5
2.6,0.082,6,32,1.0006,3.12,0.78,10.7,6
2.5,0.067,6,21,0.9987,3.26,0.86,10.7,6
3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6
3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6
2.6,0.25,5,20,0.999,3.31,0.79,10.7,6
4,0.087,27,61,0.9965,3.36,0.67,10.7,6
4,0.087,27,61,0.9965,3.36,0.67,10.7,6
2.1,0.084,5,13,0.9972,3.37,0.77,10.7,6
2.6,0.086,20,44,0.9965,3.38,0.59,10.7,6
2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6
2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6
1.9,0.058,22,47,0.99525,3.51,0.43,10.7,6
2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6
3.4,0.093,54,80,1.0002,3.3,0.76,10.7,7
2.6,0.055,7,13,0.99639,3.38,0.56,10.8,5
2.8,0.081,21,41,0.99518,3.41,0.52,10.8,5
3.8,0.089,6,47,1.0014,3.01,0.81,10.8,6
2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6
2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6
3,0.093,12,30,0.9996,3.18,0.63,10.8,7
2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
2.8,0.072,7,24,1.00012,3.09,0.68,10.9,6
1.5,0.073,14,21,0.99556,3.14,0.51,10.9,6
1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6
1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6
1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6
1.9,0.078,6,24,0.9976,3.18,1.04,10.9,7
1.8,0.071,14,45,0.99336,3.38,0.54,11,5
2.5,0.085,16,53,0.9993,3.06,0.72,11,6
1.8,0.075,6,20,0.9977,3.18,1.06,11,6
2.1,0.066,6,24,0.9978,3.15,0.9,11,7
2.1,0.066,6,24,0.9978,3.15,0.9,11,7
2.3,0.05,4,8,0.9951,3.4,0.64,11,7
1.9,0.064,53,77,0.99604,3.47,0.87,11,7
2.6,0.07,5,16,0.9972,3.15,0.65,11,8
2.6,0.07,5,16,0.9972,3.15,0.65,11,8
1.9,0.058,18,38,0.99518,3.16,0.85,11.1,6
1.9,0.058,18,38,0.99518,3.16,0.85,11.1,6
2,0.088,12,51,0.99613,3.29,0.58,11.1,6
2.8,0.084,18,49,0.9994,3.43,0.72,11.1,6
2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6
2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6
2,0.071,7,20,0.99566,0.14,0.79,11.1,7
1.6,0.067,6,10,0.99552,3.23,0.58,11.1,7
2,0.1,20,27,0.99546,3.15,0.69,11.2,6
3.2,0.066,6,22,0.9986,3.17,0.66,11.2,6
1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6
1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6
2,0.072,13,22,0.99438,3.4,0.84,11.2,6
2.5,0.072,32,64,0.99491,3.43,0.56,11.2,6
2,0.057,15,33,0.99488,3.6,0.46,11.2,6
3.7,0.1,6,43,1.0032,2.95,0.68,11.2,7
1.6,0.075,9,28,0.99672,3.24,0.83,11.2,7
2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7
2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7
2.2,0.058,6,10,0.99536,3.31,0.68,11.2,7
2.8,0.066,10,28,0.9964,3.33,0.67,11.2,7
2.15,0.068,7,27,0.9988,3.06,0.68,11.3,6
2.8,0.103,19,41,0.99939,3.21,0.76,11.3,6
2.1,0.111,5,10,0.99568,3.31,0.62,11.3,6
2.3,0.083,14,23,0.9976,3.35,0.61,11.3,6
2.3,0.071,13,24,0.99438,3.41,0.83,11.3,6
2,0.064,7,11,0.99562,3.45,0.58,11.3,6
3.6,0.061,9,29,0.99416,3.28,0.49,11.3,7
2.5,0.073,16,47,0.99594,3.4,0.78,11.3,7
2.3,0.12,25,36,0.99519,3.47,0.71,11.3,7
2.8,0.084,23,43,0.9986,3.04,0.68,11.4,7
1.4,0.066,3,7,0.9947,3.19,0.55,11.4,7
1.7,0.07,23,149,0.9922,3.12,0.5,11.5,6
2,0.069,21,51,0.9982,3.16,0.72,11.5,6
2.2,0.079,6,9,0.9948,3.59,0.54,11.5,6
2,0.039,15,88,0.99357,3.66,0.6,11.5,6
3.65,0.121,6,14,0.9978,3.05,0.74,11.5,7
3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
2.5,0.068,11,35,0.996,3.34,0.61,11.6,6
3,0.086,23,81,1.0002,3.48,0.74,11.6,6
3,0.086,23,81,1.0002,3.48,0.74,11.6,6
2.4,0.104,6,13,0.99643,3.22,0.65,11.6,7
2.7,0.077,11,19,0.9963,3.23,0.63,11.6,7
4.6,0.118,10,17,1.0002,3.07,0.56,11.7,4
4.6,0.118,10,17,1.0002,3.07,0.56,11.7,4
2.8,0.088,11,32,0.9972,3.22,0.68,11.7,4
2.2,0.111,6,20,0.997,3.26,0.66,11.7,4
2.2,0.095,19,42,0.9946,3.57,0.57,11.7,4
2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6
2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7
2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7
6.7,0.097,6,19,0.9986,3.27,0.82,11.7,7
2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7
2.5,0.071,10,14,0.99538,3.51,0.71,11.7,7
2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8
3.4,0.107,7,21,0.9979,3.26,0.93,11.8,1
1.8,0.072,38,46,0.99504,3.38,0.89,11.8,1
1.8,0.072,38,46,0.99504,3.38,0.89,11.8,1
2.3,0.06,19,72,0.99543,3.39,0.72,11.8,1
2.3,0.06,19,72,0.99543,3.39,0.72,11.8,1
2.1,0.064,31,43,0.99371,3.41,0.57,11.8,1
2.1,0.064,31,43,0.99371,3.41,0.57,11.8,1
4.4,0.124,6,15,0.9984,3.01,0.83,11.8,7
2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7
2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7
2.1,0.104,6,10,0.99664,3.12,0.65,11.8,7
2.4,0.089,35,67,0.9972,3.28,0.73,11.8,7
2.8,0.109,7,16,0.99614,3.31,0.79,11.8,7
1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6
4.3,0.1,5,14,1.001,3.25,0.74,11.9,6
2.2,0.079,3,6,0.99512,3.27,0.67,11.9,6
1.6,0.084,19,27,0.99545,3.28,0.73,11.9,6
2.4,0.103,6,10,0.99604,3.13,0.58,11.9,7
1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7
1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7
1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7
1.6,0.05,6,18,0.99348,3.57,0.54,11.95,5
6.3,0.05,3,10,0.99566,3.28,0.56,12,4
2.5,0.081,15,26,0.99538,3.57,0.63,12,5
3,0.093,6,15,0.9986,3.02,0.93,12,6
2.8,0.079,9,30,0.9976,3.12,0.54,12,6
3.1,0.194,14,26,0.99536,3.22,0.78,12,6
6.55,0.074,38,76,0.999,3.17,0.85,12,7
6.55,0.074,38,76,0.999,3.17,0.85,12,7
3.3,0.063,10,19,0.99468,3.3,0.73,12,7
8.3,0.051,28,91,0.9952,3.44,0.55,12.1,6
2.9,0.077,21,45,0.9974,3.49,0.96,12.1,6
2.6,0.066,29,56,0.99577,3.15,0.79,12.1,7
2.1,0.052,5,9,0.99458,3.2,0.69,12.1,7
2.65,0.085,9,34,0.99736,3.24,0.77,12.1,7
3.8,0.09,11,24,0.99498,3.27,0.64,12.1,7
5.9,0.073,7,13,0.99658,3.3,0.62,12.1,7
2.4,0.068,29,46,0.9943,3.2,0.6,12.2,6
2.9,0.065,4,8,0.99674,3.33,0.62,12.2,6
2.7,0.082,6,11,0.99538,3.44,0.54,12.2,6
3.4,0.128,7,21,0.9992,3.17,0.84,12.2,7
4.6,0.094,3,10,0.99639,3.27,0.64,12.2,7
4.6,0.072,10,20,0.9973,3.34,0.79,12.2,7
1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7
2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7
2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7
2.7,0.072,17,34,0.9955,3.58,0.89,12.3,7
2,0.039,5,19,0.99585,3.3,0.86,12.4,6
2.1,0.093,6,12,0.99408,3.26,0.62,12.4,7
2.1,0.093,6,12,0.99408,3.26,0.62,12.4,7
2.2,0.074,13,25,0.99509,3.36,0.76,12.4,7
2.3,0.065,7,26,0.99531,3.17,0.53,12.5,6
2.9,0.122,10,41,0.998,3.23,0.66,12.5,6
2.9,0.122,10,41,0.998,3.23,0.66,12.5,6
1.9,0.052,6,16,0.9948,3.35,0.7,12.5,6
2.9,0.072,10,26,0.9968,3.16,0.78,12.5,7
5,0.082,9,17,0.99484,3.19,0.52,12.5,7
2,0.041,4,10,0.99386,3.27,0.71,12.5,7
2.4,0.078,17,43,0.99444,3.31,0.77,12.5,7
2.4,0.078,17,43,0.99444,3.31,0.77,12.5,7
1.7,0.054,5,27,0.9934,3.57,0.84,12.5,7
6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8
4.3,0.085,6,47,1.0021,3.3,0.68,12.7,6
4.3,0.085,6,47,1.0021,3.3,0.68,12.7,2
3.2,0.075,15,39,0.9956,3.56,0.52,12.7,2
3.2,0.071,27,58,0.995,3.61,0.49,12.7,2
2.3,0.065,34,45,0.99417,3.46,0.74,12.7,8
2.3,0.078,12,24,0.9958,3,0.65,12.8,6
2.1,0.072,15,33,0.9956,3.22,0.66,12.8,6
2.4,0.078,17,32,0.9955,3.55,0.61,12.8,6
1.3,0.034,18,44,0.9921,3.9,0.62,12.8,6
2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7
2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7
2.2,0.087,3,11,0.99378,3.71,0.63,12.8,3
2.2,0.087,3,11,0.99378,3.71,0.63,12.8,3
2.1,0.07,51,70,0.99418,3.34,0.82,12.9,6
2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6
2.8,0.068,23,42,0.99356,3.34,0.72,12.9,3
1.7,0.044,14,86,0.99264,3.56,0.94,12.9,7
1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8
2.3,0.049,17,99,0.9937,3.63,0.63,13,5
4.2,0.066,7,38,1.0004,3.22,0.6,13,7
1.2,0.046,13,93,0.9924,3.57,0.85,13,7
2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4
3.8,0.132,3,11,0.99577,3.23,0.57,13.2,6
6.2,0.088,6,24,0.9988,3.11,0.99,13.3,6
4.1,0.114,6,24,0.997,3.06,0.66,13.4,6
2.6,0.052,13,27,0.995,3.32,0.9,13.4,7
5.2,0.086,6,19,0.9988,3.22,0.69,13.4,8
2.6,0.065,7,18,0.9947,3.32,0.79,14,6
1.8,0.05,27,63,0.9916,3.68,0.79,14,6
2.1,0.048,16,42,0.99154,3.71,0.74,14,7
2,0.06,19,50,0.9917,3.72,0.74,14,8
